epochs,BCE,FL,LS
1,0.0005,0.0005,0.0005
2,0.00049863,0.00049863,0.000498994
3,0.00049454,0.00049454,0.000495982
4,0.00048776,0.00048776,0.000490991
5,0.00047839,0.00047839,0.000484059
6,0.00046651,0.00046651,0.000475242
7,0.00045225,0.00045225,0.000464612
8,0.00043579,0.00043579,0.000452254
9,0.00041728,0.00041728,0.000438268
10,0.00039695,0.00039695,0.000422766
11,0.000375,0.000375,0.000405872
12,0.00035168,0.00035168,0.000387724
13,0.00032725,0.00032725,0.000368467
14,0.00030198,0.00030198,0.000348256
15,0.00027613,0.00027613,0.000327254
16,0.00025,0.00025,0.00030563
17,0.00022387,0.00022387,0.000283558
18,0.00019802,0.00019802,0.000261216
19,0.00017275,0.00017275,0.000238784
20,0.00014832,0.00014832,0.000216442
21,0.000125,0.000125,0.00019437
22,0.00010305,0.00010305,0.000172746
23,8.27E-05,8.27E-05,0.000151744
24,6.42E-05,6.42E-05,0.000131533
25,4.77E-05,4.77E-05,0.000112276
26,3.35E-05,3.35E-05,9.41275E-05
27,2.16E-05,2.16E-05,7.72343E-05
28,1.22E-05,1.22E-05,6.17321E-05
29,5.46E-06,5.46E-06,4.77458E-05
30,1.37E-06,1.37E-06,3.53878E-05
31,,,2.47578E-05
32,,,1.59413E-05
33,,,9.00928E-06
34,,,4.0176E-06
35,,,1.00643E-06
