epochs,BCE,FL,LS
1,0.39722497,0.425735754,0.422652233
2,0.57021992,0.560398757,0.57787441
3,0.61046146,0.588894725,0.614790261
4,0.6325636,0.602512288,0.629984701
5,0.64524448,0.613866925,0.640738904
6,0.65445204,0.620361257,0.647613215
7,0.66249415,0.62706039,0.656317186
8,0.66897277,0.629454648,0.661313546
9,0.67451564,0.636731446,0.663581514
10,0.6803148,0.6404706,0.670465493
11,0.68752122,0.644411564,0.673947239
12,0.69275244,0.648319864,0.675543702
13,0.69707348,0.653738225,0.682690823
14,0.70285581,0.658246672,0.685240924
15,0.70840044,0.662823594,0.688973188
16,0.71641756,0.66759336,0.692816782
17,0.71925712,0.671708107,0.697444987
18,0.72707123,0.677720046,0.700662982
19,0.73435987,0.682303011,0.70543524
20,0.74127865,0.689089191,0.711056125
21,0.74974841,0.692730641,0.715540612
22,0.75332642,0.698044968,0.718527472
23,0.76227335,0.705007458,0.723919427
24,0.76761439,0.710463798,0.72947464
25,0.77458377,0.716427898,0.736190462
26,0.78037843,0.719191194,0.741337264
27,0.78328712,0.724748933,0.746831262
28,0.7890627,0.727061117,0.752549231
29,0.79007549,0.728687215,0.75629319
30,0.79089799,0.731399429,0.758720422
31,,,0.764965749
32,,,0.764457905
33,,,0.76879636
34,,,0.769616127
35,,,0.770816433
