epochs,BCE,FL,LS
1,0.298217505,0.13516155,0.388392025
2,0.241064772,0.11170359,0.353145605
3,0.226874048,0.10624276,0.344452137
4,0.217982689,0.10282117,0.339790332
5,0.212681261,0.10064978,0.337035143
6,0.208500341,0.09888598,0.334665024
7,0.204225716,0.09746763,0.332501775
8,0.201359072,0.0964667,0.331003386
9,0.198053885,0.09500748,0.329436064
10,0.19494479,0.09420409,0.327784401
11,0.191923663,0.0928395,0.327059555
12,0.189258659,0.09190261,0.325571418
13,0.186575812,0.09071617,0.324098659
14,0.18294394,0.08945604,0.322611868
15,0.180314431,0.08828478,0.321490049
16,0.176536721,0.0869272,0.319827908
17,0.173343396,0.08565222,0.31849162
18,0.169551599,0.0840832,0.317114896
19,0.165787002,0.08282626,0.315487707
20,0.161972538,0.08131404,0.313741487
21,0.157912242,0.07982556,0.311637378
22,0.154340765,0.07836147,0.309929442
23,0.150016278,0.07653157,0.308429694
24,0.146456206,0.07496676,0.306324446
25,0.143319389,0.07394014,0.304249412
26,0.140135857,0.07280431,0.302460647
27,0.137998793,0.07148349,0.30062694
28,0.135401404,0.07066696,0.298531675
29,0.13407034,0.07017553,0.297090918
30,0.133485925,0.06958678,0.295662451
31,,,0.294036424
32,,,0.293186021
33,,,0.292318141
34,,,0.291856802
35,,,0.291423887
