epochs,BCE,FL,LS
1,0.535219705,0.541413772,0.54335923
2,0.595446956,0.589063966,0.5914191
3,0.629118764,0.611472297,0.62971343
4,0.63513869,0.612886786,0.61699382
5,0.652192461,0.615985727,0.64353752
6,0.647505486,0.6190045,0.63622853
7,0.661213064,0.624794161,0.65390581
8,0.658441114,0.634005964,0.64204073
9,0.669956946,0.63711859,0.65005289
10,0.671124506,0.635887873,0.65929013
11,0.677543116,0.629233801,0.65531704
12,0.668505204,0.609675705,0.65036514
13,0.685925949,0.644062018,0.67016057
14,0.680626035,0.653501141,0.66914042
15,0.696475971,0.621073389,0.67745519
16,0.687901783,0.653898394,0.671466
17,0.699447882,0.664460957,0.67932421
18,0.70074991,0.65318042,0.68378677
19,0.703783548,0.678113961,0.69281127
20,0.709924495,0.670562816,0.69622073
21,0.712477517,0.682485819,0.69650548
22,0.715714622,0.688460541,0.69860405
23,0.720660019,0.686707449,0.70812874
24,0.72273767,0.689318395,0.70231812
25,0.726130021,0.691963482,0.70713358
26,0.725476086,0.697276187,0.71445558
27,0.728804791,0.69823041,0.71559582
28,0.72949481,0.700379848,0.71575232
29,0.726743531,0.701945329,0.71890768
30,0.728383994,0.701237237,0.7226948
31,,,0.72378901
32,,,0.72406961
33,,,0.72584486
34,,,0.72536401
35,,,0.72453823
