epochs,BCE,FL,LS
1,0.251242378,0.116237314,0.361264849
2,0.23313826,0.108122271,0.353805357
3,0.221130416,0.102473113,0.341624224
4,0.221501395,0.10259258,0.34271574
5,0.212566647,0.103429976,0.337717044
6,0.21221455,0.101276556,0.339282995
7,0.208352622,0.100238258,0.333285308
8,0.211008555,0.098192661,0.336136544
9,0.201645091,0.098168835,0.335009444
10,0.204699776,0.095877461,0.333413023
11,0.199250913,0.100879698,0.33557384
12,0.205830181,0.098984599,0.335628617
13,0.19526912,0.096520714,0.331676453
14,0.196507022,0.093332551,0.330106467
15,0.192100868,0.095344961,0.326655912
16,0.193488678,0.092583783,0.327717209
17,0.188724038,0.090154506,0.327160066
18,0.187934923,0.090050983,0.325067639
19,0.187105185,0.0873099,0.321782011
20,0.185746875,0.087538257,0.321129948
21,0.182859108,0.086287291,0.321298689
22,0.180664256,0.084648746,0.318635595
23,0.179171601,0.083850792,0.316112602
24,0.178499669,0.083524024,0.316404468
25,0.17786524,0.082465249,0.314970547
26,0.177239224,0.081796037,0.31463384
27,0.176666084,0.081708249,0.313828075
28,0.176379472,0.081488471,0.312998372
29,0.176793072,0.081352459,0.311623627
30,0.176505131,0.081418246,0.310795403
31,,,0.310607547
32,,,0.310317528
33,,,0.310217351
34,,,0.310159153
35,,,0.310324699
